customer_type;age;type_of_travel;class;flight_distanced;inflight_wifi_service;ease_of_online_booking;food_and_drink;online_boarding;seat_comfort;inflight_entertainment;on-board_service;leg_room_service;baggage_handling;checking_service;inflight_service;cleanliness;average_service_rating;satisfaction
1;52;1;0;160;5;3;3;4;3;5;5;5;5;2;5;5;4,166666667;1
1;36;1;2;2863;1;3;5;4;5;4;4;4;4;3;4;5;3,833333333;1
0;20;1;0;192;2;2;2;2;2;2;4;1;3;2;2;2;2,166666667;0
1;44;1;2;3377;0;0;3;4;4;1;1;1;1;3;1;4;1,916666667;1
1;49;1;0;1182;2;4;4;1;2;2;2;2;2;4;2;4;2,583333333;1
1;16;1;0;311;3;3;5;5;3;5;4;3;1;1;2;5;3,333333333;1
1;77;1;2;3987;5;5;3;5;5;5;5;5;5;4;5;3;4,583333333;1
1;43;1;2;2556;2;2;4;4;5;4;4;4;4;5;4;3;3,75;1
1;47;1;0;556;5;2;5;5;5;5;2;2;5;3;3;5;3,916666667;1
1;46;1;2;1744;2;2;3;4;4;4;4;4;4;5;4;4;3,666666667;1
1;47;1;0;1235;4;1;5;1;5;3;3;4;3;1;3;4;3,083333333;1
1;33;1;2;325;2;5;1;3;4;2;2;2;2;3;2;4;2,666666667;0
1;46;1;2;1009;5;5;4;5;5;5;5;5;5;5;5;3;4,75;1
1;60;1;2;451;1;4;5;5;4;5;5;5;5;3;5;5;4,333333333;1
1;52;1;2;925;2;2;5;5;4;4;4;4;4;3;4;5;3,833333333;1
1;50;0;0;83;3;0;2;0;2;2;4;2;4;4;5;2;2,5;0
1;31;1;0;728;2;5;2;2;2;2;4;3;3;4;3;2;2,833333333;0
1;52;0;1;1075;5;5;4;5;4;4;3;5;5;4;5;4;4,416666667;1
1;43;0;0;1927;3;3;4;4;5;5;5;3;5;4;5;3;4,083333333;0
1;50;1;2;3799;5;5;4;5;4;4;4;5;4;5;4;5;4,5;1
1;60;1;2;612;4;4;2;4;5;5;5;5;5;5;5;5;4,5;1
1;43;0;0;1437;3;3;2;3;2;2;4;2;4;4;5;2;3;0
1;55;0;0;302;1;4;4;4;4;4;1;3;2;4;3;4;3,166666667;0
1;25;1;2;1428;4;4;4;4;4;4;1;5;3;1;5;4;3,583333333;1
0;30;1;0;528;4;5;2;5;2;2;3;2;3;4;4;2;3,166666667;0
1;62;0;0;710;3;3;2;3;2;2;3;5;5;4;4;2;3,166666667;0
